true_label,probability,prediction
0,0.08112972974777222,0
0,0.0,0
0,5.452452324687863e-42,0
0,4.58795184122055e-15,0
0,4.3864084247041674e-17,0
0,1.0,1
0,0.0,0
0,0.0,0
0,2.2099378431052264e-31,0
0,0.0,0
0,1.0024747353657276e-23,0
0,1.0,1
0,1.2832873608203954e-07,0
0,0.0,0
0,6.071517020098851e-29,0
0,1.0,1
0,1.0,1
0,0.0,0
0,1.0,1
0,6.92685204574142e-38,0
0,0.0,0
0,2.818011211757207e-42,0
